language,word_count,subword_count,subword_word_ratio
English,19,26,1.368421052631579
English,11,19,1.7272727272727273
English,14,21,1.5
English,40,47,1.175
English,33,40,1.2121212121212122
English,42,49,1.1666666666666667
English,16,21,1.3125
English,10,16,1.6
English,14,22,1.5714285714285714
English,15,19,1.2666666666666666
English,18,22,1.2222222222222223
English,22,26,1.1818181818181819
English,17,19,1.1176470588235294
English,19,21,1.105263157894737
English,15,17,1.1333333333333333
English,29,35,1.206896551724138
English,29,37,1.2758620689655173
English,33,41,1.2424242424242424
English,39,51,1.3076923076923077
English,36,47,1.3055555555555556
English,46,59,1.2826086956521738
English,45,60,1.3333333333333333
English,48,64,1.3333333333333333
English,42,58,1.380952380952381
English,39,49,1.2564102564102564
English,37,49,1.3243243243243243
English,37,47,1.2702702702702702
English,37,48,1.2972972972972974
English,29,39,1.3448275862068966
English,27,36,1.3333333333333333
English,21,31,1.4761904761904763
English,15,25,1.6666666666666667
English,16,27,1.6875
English,36,51,1.4166666666666667
English,38,53,1.394736842105263
English,36,52,1.4444444444444444
English,43,55,1.2790697674418605
English,41,51,1.2439024390243902
English,42,55,1.3095238095238095
English,18,25,1.3888888888888888
English,10,17,1.7
English,13,18,1.3846153846153846
English,23,29,1.2608695652173914
English,19,23,1.2105263157894737
English,23,27,1.173913043478261
English,23,31,1.3478260869565217
English,19,27,1.4210526315789473
English,18,28,1.5555555555555556
English,13,17,1.3076923076923077
English,17,19,1.1176470588235294
English,14,16,1.1428571428571428
English,30,43,1.4333333333333333
English,30,42,1.4
English,30,44,1.4666666666666666
English,29,49,1.6896551724137931
English,23,41,1.7826086956521738
English,27,46,1.7037037037037037
English,11,13,1.1818181818181819
English,11,14,1.2727272727272727
English,12,15,1.25
English,14,20,1.4285714285714286
English,12,16,1.3333333333333333
English,12,18,1.5
English,24,30,1.25
English,24,30,1.25
English,22,27,1.2272727272727273
English,43,54,1.255813953488372
English,36,46,1.2777777777777777
English,43,53,1.2325581395348837
English,38,56,1.4736842105263157
English,36,54,1.5
English,35,53,1.5142857142857142
English,26,36,1.3846153846153846
English,24,35,1.4583333333333333
English,26,36,1.3846153846153846
English,13,19,1.4615384615384615
English,15,22,1.4666666666666666
English,13,20,1.5384615384615385
English,12,16,1.3333333333333333
English,12,16,1.3333333333333333
English,13,17,1.3076923076923077
English,14,18,1.2857142857142858
English,9,13,1.4444444444444444
English,14,18,1.2857142857142858
English,13,18,1.3846153846153846
English,18,24,1.3333333333333333
English,13,18,1.3846153846153846
English,19,38,2.0
English,20,38,1.9
English,21,40,1.9047619047619047
English,36,53,1.4722222222222223
English,32,50,1.5625
English,36,56,1.5555555555555556
English,24,32,1.3333333333333333
English,28,34,1.2142857142857142
English,37,46,1.2432432432432432
English,20,23,1.15
English,24,27,1.125
English,18,21,1.1666666666666667
English,10,13,1.3
English,13,18,1.3846153846153846
English,10,15,1.5
English,46,56,1.2173913043478262
English,38,47,1.236842105263158
English,41,53,1.2926829268292683
English,37,41,1.1081081081081081
English,41,45,1.0975609756097562
English,36,42,1.1666666666666667
English,23,34,1.4782608695652173
English,24,35,1.4583333333333333
English,22,33,1.5
English,18,28,1.5555555555555556
English,23,34,1.4782608695652173
English,20,34,1.7
English,33,46,1.393939393939394
English,41,54,1.3170731707317074
English,35,49,1.4
English,42,48,1.1428571428571428
English,38,43,1.131578947368421
English,36,43,1.1944444444444444
English,41,53,1.2926829268292683
English,43,53,1.2325581395348837
English,41,52,1.2682926829268293
English,22,26,1.1818181818181819
English,21,23,1.0952380952380953
English,29,32,1.103448275862069
English,16,24,1.5
English,16,22,1.375
English,16,24,1.5
English,23,29,1.2608695652173914
English,22,28,1.2727272727272727
English,27,33,1.2222222222222223
English,32,40,1.25
English,37,43,1.162162162162162
English,29,35,1.206896551724138
English,24,34,1.4166666666666667
English,25,34,1.36
English,27,36,1.3333333333333333
English,31,38,1.2258064516129032
English,28,34,1.2142857142857142
English,27,33,1.2222222222222223
English,34,42,1.2352941176470589
English,36,42,1.1666666666666667
English,35,41,1.1714285714285715
English,30,35,1.1666666666666667
English,32,39,1.21875
English,34,39,1.1470588235294117
English,17,20,1.1764705882352942
English,21,25,1.1904761904761905
English,18,22,1.2222222222222223
English,24,32,1.3333333333333333
English,26,35,1.3461538461538463
English,23,32,1.391304347826087
English,37,42,1.135135135135135
English,33,38,1.1515151515151516
English,36,41,1.1388888888888888
English,12,16,1.3333333333333333
English,13,18,1.3846153846153846
English,12,17,1.4166666666666667
English,27,32,1.1851851851851851
English,30,34,1.1333333333333333
English,28,32,1.1428571428571428
English,20,22,1.1
English,18,20,1.1111111111111112
English,20,24,1.2
English,17,26,1.5294117647058822
English,23,29,1.2608695652173914
English,20,30,1.5
English,27,32,1.1851851851851851
English,25,31,1.24
English,24,30,1.25
English,33,46,1.393939393939394
English,39,52,1.3333333333333333
English,35,46,1.3142857142857143
English,40,46,1.15
English,40,46,1.15
English,42,49,1.1666666666666667
English,37,52,1.4054054054054055
English,35,46,1.3142857142857143
English,37,51,1.3783783783783783
English,33,41,1.2424242424242424
English,39,48,1.2307692307692308
English,46,55,1.1956521739130435
English,18,26,1.4444444444444444
English,16,22,1.375
English,17,23,1.3529411764705883
English,40,52,1.3
English,42,55,1.3095238095238095
English,42,54,1.2857142857142858
English,34,40,1.1764705882352942
English,31,35,1.1290322580645162
English,33,39,1.1818181818181819
English,23,33,1.434782608695652
English,27,35,1.2962962962962963
English,20,27,1.35
English,23,29,1.2608695652173914
English,17,23,1.3529411764705883
English,19,27,1.4210526315789473
English,12,17,1.4166666666666667
English,15,21,1.4
English,13,18,1.3846153846153846
English,22,31,1.4090909090909092
English,23,32,1.391304347826087
English,22,28,1.2727272727272727
English,29,35,1.206896551724138
English,22,31,1.4090909090909092
English,27,35,1.2962962962962963
English,39,50,1.2820512820512822
English,31,40,1.2903225806451613
English,37,48,1.2972972972972974
English,36,52,1.4444444444444444
English,35,52,1.4857142857142858
English,28,40,1.4285714285714286
English,14,18,1.2857142857142858
English,17,21,1.2352941176470589
English,14,19,1.3571428571428572
English,19,24,1.263157894736842
English,16,23,1.4375
English,16,21,1.3125
English,17,22,1.2941176470588236
English,17,22,1.2941176470588236
English,15,23,1.5333333333333334
English,12,16,1.3333333333333333
English,17,20,1.1764705882352942
English,12,15,1.25
English,15,21,1.4
English,14,20,1.4285714285714286
English,21,26,1.2380952380952381
English,14,24,1.7142857142857142
English,10,15,1.5
English,10,16,1.6
English,17,23,1.3529411764705883
English,16,24,1.5
English,15,23,1.5333333333333334
English,24,27,1.125
English,30,35,1.1666666666666667
English,24,27,1.125
English,36,57,1.5833333333333333
English,43,64,1.4883720930232558
English,36,56,1.5555555555555556
English,42,59,1.4047619047619047
English,42,59,1.4047619047619047
English,46,63,1.3695652173913044
English,11,15,1.3636363636363635
English,15,19,1.2666666666666666
English,9,12,1.3333333333333333
English,29,38,1.3103448275862069
English,32,42,1.3125
English,28,37,1.3214285714285714
English,30,50,1.6666666666666667
English,22,33,1.5
English,21,30,1.4285714285714286
English,15,16,1.0666666666666667
English,12,13,1.0833333333333333
English,10,13,1.3
English,45,56,1.2444444444444445
English,42,53,1.2619047619047619
English,39,53,1.358974358974359
English,53,55,1.0377358490566038
English,44,47,1.0681818181818181
English,39,40,1.0256410256410255
English,22,28,1.2727272727272727
English,18,25,1.3888888888888888
English,21,26,1.2380952380952381
English,30,34,1.1333333333333333
English,27,31,1.1481481481481481
English,22,24,1.0909090909090908
English,14,22,1.5714285714285714
English,17,23,1.3529411764705883
English,16,23,1.4375
English,19,22,1.1578947368421053
English,15,16,1.0666666666666667
English,18,21,1.1666666666666667
English,21,24,1.1428571428571428
English,23,26,1.1304347826086956
English,19,22,1.1578947368421053
English,50,61,1.22
English,45,55,1.2222222222222223
English,51,62,1.2156862745098038
English,20,24,1.2
English,25,29,1.16
English,20,25,1.25
English,44,51,1.1590909090909092
English,47,55,1.1702127659574468
English,48,58,1.2083333333333333
English,23,28,1.2173913043478262
English,24,31,1.2916666666666667
English,21,28,1.3333333333333333
English,33,38,1.1515151515151516
English,35,41,1.1714285714285715
English,30,38,1.2666666666666666
English,20,26,1.3
English,20,26,1.3
English,20,26,1.3
English,27,34,1.2592592592592593
English,28,35,1.25
English,29,38,1.3103448275862069
English,26,36,1.3846153846153846
English,30,45,1.5
English,28,37,1.3214285714285714
English,17,19,1.1176470588235294
English,16,19,1.1875
English,15,18,1.2
English,14,19,1.3571428571428572
English,10,15,1.5
English,12,19,1.5833333333333333
English,14,19,1.3571428571428572
English,10,12,1.2
English,21,26,1.2380952380952381
English,34,38,1.1176470588235294
English,31,35,1.1290322580645162
English,31,35,1.1290322580645162
English,25,28,1.12
English,23,27,1.173913043478261
English,29,32,1.103448275862069
English,10,13,1.3
English,10,12,1.2
English,17,21,1.2352941176470589
English,29,30,1.0344827586206897
English,31,33,1.064516129032258
English,31,33,1.064516129032258
English,40,51,1.275
English,42,56,1.3333333333333333
English,39,51,1.3076923076923077
English,27,44,1.6296296296296295
English,29,50,1.7241379310344827
English,31,49,1.5806451612903225
English,38,45,1.1842105263157894
English,37,44,1.1891891891891893
English,38,45,1.1842105263157894
English,26,29,1.1153846153846154
English,22,26,1.1818181818181819
English,24,26,1.0833333333333333
English,15,18,1.2
English,18,24,1.3333333333333333
English,15,21,1.4
English,32,41,1.28125
English,26,34,1.3076923076923077
English,27,35,1.2962962962962963
English,51,55,1.0784313725490196
English,45,49,1.0888888888888888
English,41,45,1.0975609756097562
English,27,36,1.3333333333333333
English,23,32,1.391304347826087
English,27,36,1.3333333333333333
English,29,34,1.1724137931034482
English,30,37,1.2333333333333334
English,39,45,1.1538461538461537
English,42,53,1.2619047619047619
English,36,45,1.25
English,35,43,1.2285714285714286
English,20,26,1.3
English,24,33,1.375
English,21,30,1.4285714285714286
English,26,29,1.1153846153846154
English,25,28,1.12
English,28,31,1.1071428571428572
English,13,14,1.0769230769230769
English,12,13,1.0833333333333333
English,12,14,1.1666666666666667
English,12,13,1.0833333333333333
English,10,11,1.1
English,9,10,1.1111111111111112
English,46,70,1.5217391304347827
English,38,60,1.5789473684210527
English,41,61,1.4878048780487805
English,19,27,1.4210526315789473
English,19,25,1.3157894736842106
English,23,29,1.2608695652173914
English,30,35,1.1666666666666667
English,32,37,1.15625
English,31,40,1.2903225806451613
English,21,25,1.1904761904761905
English,20,25,1.25
English,25,29,1.16
English,13,18,1.3846153846153846
English,13,17,1.3076923076923077
English,13,16,1.2307692307692308
English,13,18,1.3846153846153846
English,14,19,1.3571428571428572
English,11,18,1.6363636363636365
English,38,43,1.131578947368421
English,42,48,1.1428571428571428
English,38,44,1.1578947368421053
English,36,38,1.0555555555555556
English,32,35,1.09375
English,32,34,1.0625
English,27,31,1.1481481481481481
English,22,28,1.2727272727272727
English,28,33,1.1785714285714286
English,29,31,1.0689655172413792
English,28,31,1.1071428571428572
English,25,28,1.12
English,37,44,1.1891891891891893
English,34,42,1.2352941176470589
English,40,49,1.225
English,32,46,1.4375
English,39,53,1.358974358974359
English,42,61,1.4523809523809523
English,29,34,1.1724137931034482
English,32,37,1.15625
English,34,38,1.1176470588235294
English,37,42,1.135135135135135
English,37,44,1.1891891891891893
English,34,39,1.1470588235294117
English,29,33,1.1379310344827587
English,24,29,1.2083333333333333
English,23,26,1.1304347826086956
English,17,18,1.0588235294117647
English,17,19,1.1176470588235294
English,17,19,1.1176470588235294
English,17,22,1.2941176470588236
English,18,22,1.2222222222222223
English,25,30,1.2
English,38,46,1.2105263157894737
English,35,42,1.2
English,45,52,1.1555555555555554
English,45,53,1.1777777777777778
English,44,50,1.1363636363636365
English,44,51,1.1590909090909092
English,27,32,1.1851851851851851
English,21,24,1.1428571428571428
English,21,25,1.1904761904761905
English,27,30,1.1111111111111112
English,32,37,1.15625
English,26,29,1.1153846153846154
English,35,43,1.2285714285714286
English,28,37,1.3214285714285714
English,31,41,1.3225806451612903
English,20,25,1.25
English,18,27,1.5
English,14,17,1.2142857142857142
English,42,54,1.2857142857142858
English,46,63,1.3695652173913044
English,39,52,1.3333333333333333
English,6,13,2.1666666666666665
English,17,24,1.411764705882353
English,8,15,1.875
English,15,20,1.3333333333333333
English,11,15,1.3636363636363635
English,18,24,1.3333333333333333
English,26,34,1.3076923076923077
English,31,37,1.1935483870967742
English,23,31,1.3478260869565217
English,15,17,1.1333333333333333
English,12,13,1.0833333333333333
English,12,13,1.0833333333333333
English,33,40,1.2121212121212122
English,41,47,1.146341463414634
English,34,39,1.1470588235294117
English,17,20,1.1764705882352942
English,17,22,1.2941176470588236
English,16,19,1.1875
English,24,30,1.25
English,25,26,1.04
English,31,33,1.064516129032258
English,28,33,1.1785714285714286
English,27,32,1.1851851851851851
English,27,31,1.1481481481481481
English,45,51,1.1333333333333333
English,42,46,1.0952380952380953
English,41,44,1.0731707317073171
English,15,20,1.3333333333333333
English,19,21,1.105263157894737
English,19,22,1.1578947368421053
English,36,48,1.3333333333333333
English,35,44,1.2571428571428571
English,36,47,1.3055555555555556
English,39,45,1.1538461538461537
English,44,47,1.0681818181818181
English,41,45,1.0975609756097562
English,17,23,1.3529411764705883
English,23,30,1.3043478260869565
English,18,24,1.3333333333333333
English,11,13,1.1818181818181819
English,21,22,1.0476190476190477
English,11,14,1.2727272727272727
English,36,42,1.1666666666666667
English,38,45,1.1842105263157894
English,34,38,1.1176470588235294
English,33,36,1.0909090909090908
English,32,37,1.15625
English,32,37,1.15625
English,17,22,1.2941176470588236
English,20,28,1.4
English,22,29,1.3181818181818181
English,18,26,1.4444444444444444
English,17,26,1.5294117647058822
English,22,28,1.2727272727272727
English,35,45,1.2857142857142858
English,37,44,1.1891891891891893
English,40,50,1.25
English,40,49,1.225
English,36,44,1.2222222222222223
English,37,44,1.1891891891891893
English,36,46,1.2777777777777777
English,41,52,1.2682926829268293
English,38,47,1.236842105263158
English,19,33,1.736842105263158
English,15,29,1.9333333333333333
English,13,26,2.0
English,35,46,1.3142857142857143
English,38,49,1.2894736842105263
English,41,52,1.2682926829268293
English,25,29,1.16
English,25,28,1.12
English,19,25,1.3157894736842106
English,23,30,1.3043478260869565
English,20,25,1.25
English,24,28,1.1666666666666667
English,41,53,1.2926829268292683
English,32,41,1.28125
English,34,44,1.2941176470588236
English,19,24,1.263157894736842
English,17,22,1.2941176470588236
English,18,22,1.2222222222222223
English,44,73,1.6590909090909092
English,43,74,1.7209302325581395
English,46,78,1.6956521739130435
English,26,36,1.3846153846153846
English,23,32,1.391304347826087
English,22,33,1.5
English,34,51,1.5
English,36,53,1.4722222222222223
English,34,52,1.5294117647058822
English,34,46,1.3529411764705883
English,28,36,1.2857142857142858
English,26,37,1.4230769230769231
English,40,49,1.225
English,36,45,1.25
English,27,34,1.2592592592592593
English,26,37,1.4230769230769231
English,22,30,1.3636363636363635
English,29,37,1.2758620689655173
English,28,39,1.3928571428571428
English,22,31,1.4090909090909092
English,25,32,1.28
English,29,40,1.3793103448275863
English,28,41,1.4642857142857142
English,28,41,1.4642857142857142
English,12,16,1.3333333333333333
English,13,17,1.3076923076923077
English,14,18,1.2857142857142858
English,28,41,1.4642857142857142
English,28,42,1.5
English,28,41,1.4642857142857142
English,24,32,1.3333333333333333
English,27,34,1.2592592592592593
English,20,27,1.35
English,20,33,1.65
English,22,36,1.6363636363636365
English,22,36,1.6363636363636365
English,33,42,1.2727272727272727
English,26,34,1.3076923076923077
English,24,35,1.4583333333333333
English,41,53,1.2926829268292683
English,48,64,1.3333333333333333
English,42,56,1.3333333333333333
English,12,16,1.3333333333333333
English,10,12,1.2
English,15,18,1.2
English,27,39,1.4444444444444444
English,24,36,1.5
English,26,38,1.4615384615384615
English,19,29,1.5263157894736843
English,26,38,1.4615384615384615
English,17,26,1.5294117647058822
English,35,48,1.3714285714285714
English,29,42,1.4482758620689655
English,31,44,1.4193548387096775
English,29,37,1.2758620689655173
English,29,37,1.2758620689655173
English,29,41,1.4137931034482758
English,20,37,1.85
English,18,35,1.9444444444444444
English,18,35,1.9444444444444444
English,33,40,1.2121212121212122
English,34,43,1.2647058823529411
English,34,43,1.2647058823529411
English,26,34,1.3076923076923077
English,26,34,1.3076923076923077
English,26,34,1.3076923076923077
English,18,23,1.2777777777777777
English,19,24,1.263157894736842
English,21,24,1.1428571428571428
English,23,31,1.3478260869565217
English,20,27,1.35
English,20,27,1.35
English,21,30,1.4285714285714286
English,21,30,1.4285714285714286
English,25,33,1.32
English,20,28,1.4
English,19,25,1.3157894736842106
English,23,29,1.2608695652173914
English,18,30,1.6666666666666667
English,14,26,1.8571428571428572
English,18,30,1.6666666666666667
English,30,36,1.2
English,28,35,1.25
English,29,36,1.2413793103448276
English,41,58,1.4146341463414633
English,40,58,1.45
English,43,60,1.3953488372093024
English,32,42,1.3125
English,29,38,1.3103448275862069
English,34,41,1.2058823529411764
English,35,50,1.4285714285714286
English,32,41,1.28125
English,30,38,1.2666666666666666
English,34,54,1.588235294117647
English,32,53,1.65625
English,31,52,1.6774193548387097
English,21,26,1.2380952380952381
English,25,31,1.24
English,24,30,1.25
English,11,16,1.4545454545454546
English,15,20,1.3333333333333333
English,15,23,1.5333333333333334
English,19,33,1.736842105263158
English,19,32,1.6842105263157894
English,20,34,1.7
English,30,49,1.6333333333333333
English,31,49,1.5806451612903225
English,30,49,1.6333333333333333
English,24,37,1.5416666666666667
English,20,31,1.55
English,20,31,1.55
English,24,30,1.25
English,26,33,1.2692307692307692
English,24,31,1.2916666666666667
English,18,22,1.2222222222222223
English,21,26,1.2380952380952381
English,20,24,1.2
English,26,36,1.3846153846153846
English,28,37,1.3214285714285714
English,28,38,1.3571428571428572
English,20,29,1.45
English,26,37,1.4230769230769231
English,24,33,1.375
English,39,68,1.7435897435897436
English,39,71,1.8205128205128205
English,38,69,1.8157894736842106
English,16,18,1.125
English,21,25,1.1904761904761905
English,17,19,1.1176470588235294
English,23,33,1.434782608695652
English,21,34,1.619047619047619
English,22,34,1.5454545454545454
English,30,35,1.1666666666666667
English,33,38,1.1515151515151516
English,28,33,1.1785714285714286
English,33,55,1.6666666666666667
English,34,57,1.6764705882352942
English,32,53,1.65625
English,37,56,1.5135135135135136
English,37,56,1.5135135135135136
English,40,62,1.55
English,26,32,1.2307692307692308
English,24,29,1.2083333333333333
English,25,31,1.24
English,29,36,1.2413793103448276
English,31,39,1.2580645161290323
English,30,38,1.2666666666666666
English,31,38,1.2258064516129032
English,23,28,1.2173913043478262
English,29,34,1.1724137931034482
English,30,38,1.2666666666666666
English,25,31,1.24
English,23,29,1.2608695652173914
English,19,28,1.4736842105263157
English,20,31,1.55
English,20,29,1.45
English,37,51,1.3783783783783783
English,40,53,1.325
English,35,49,1.4
English,18,23,1.2777777777777777
English,29,37,1.2758620689655173
English,25,30,1.2
English,28,36,1.2857142857142858
English,16,23,1.4375
English,20,27,1.35
English,39,51,1.3076923076923077
English,35,47,1.3428571428571427
English,33,45,1.3636363636363635
English,35,45,1.2857142857142858
English,30,40,1.3333333333333333
English,32,41,1.28125
English,40,56,1.4
English,37,53,1.4324324324324325
English,39,54,1.3846153846153846
English,33,49,1.4848484848484849
English,34,50,1.4705882352941178
English,34,50,1.4705882352941178
English,32,42,1.3125
English,27,36,1.3333333333333333
English,31,39,1.2580645161290323
English,14,21,1.5
English,11,17,1.5454545454545454
English,13,19,1.4615384615384615
English,21,31,1.4761904761904763
English,23,30,1.3043478260869565
English,20,29,1.45
English,19,25,1.3157894736842106
English,24,33,1.375
English,24,32,1.3333333333333333
English,39,56,1.435897435897436
English,47,66,1.4042553191489362
English,45,65,1.4444444444444444
English,37,55,1.4864864864864864
English,41,59,1.4390243902439024
English,37,55,1.4864864864864864
English,31,51,1.6451612903225807
English,36,58,1.6111111111111112
English,33,53,1.606060606060606
English,35,47,1.3428571428571427
English,41,53,1.2926829268292683
English,35,46,1.3142857142857143
English,38,58,1.5263157894736843
English,32,45,1.40625
English,32,46,1.4375
English,33,45,1.3636363636363635
English,37,42,1.135135135135135
English,33,38,1.1515151515151516
English,34,48,1.411764705882353
English,34,49,1.4411764705882353
English,31,46,1.4838709677419355
English,30,43,1.4333333333333333
